"","gender","age","country","handed","languages","height","rightfoot","armspan","wrist","neck","popliteal","indexfinger","ringfinger","travel","timetravel","bagweight","bagcarry","favlearning","reaction","cellmonths","fitlevel","pulserest","prefquality","superpower","timetaken","year"
"18642","female",10,"newzealand",NA,1,144,23,149,16,36,37,7,8,"bus",36,1850,"one","arts",0.56,NA,"littlefit",93,"healthy","invisibility",1020,6
"17394","male",12,"newzealand","left",1,150,24,52,16,30,40,8,7,"bus",30,NA,"two","health",0.39,4,"quitefit",35,"happy","telepathy",653,8
"9366","male",12,"newzealand","right",1,160,25,160,20,30,40,63,70,"bike",8,600,"two","technology",0.44,24,"quitefit",-1,"healthy","time",932,8
"3792","female",14,"newzealand","left",1,166,25,170,16,32,43,68,70,"bike",4,3900,"two","arts",0.328,15,"veryfit",80,"happy","fly",1228,10
"17420","male",13,"england","right",1,157,26,158,12,28,38,81,89,"motor",13,6000,"two","health",0.344,19,"quitefit",20,"happy","invisibility",627,8
"6993","female",13,"newzealand","left",NA,155,24,164,16,32,42,60,65,"walk",60,500,"two","arts",0.51,4,"quitefit",92,"healthy","invisibility",545,9
"10628","male",10,"newzealand","right",1,140,10,143,15,31,20,14,15,"motor",4,4200,"one","technology",0.515,0,"quitefit",114,"famous","time",558,6
"13000",NA,13,"england","right",1,156,23,156,15,32,37,60,61,"motor",15,NA,"two","mathstats",0.937,1,"veryfit",80,"healthy","fly",512,9
"9556","female",14,"england","right",2,162,27,165,20,40,40,130,120,"walk",2,4500,"two","technology",0.344,NA,"unfit",76,"rich","fly",952,10
"18176","female",13,"england","right",1,162,28,NA,26,34,48,80,70,"walk",5,NA,"one","health",2.262,6,"littlefit",68,"happy","time",643,9
"17124","male",12,"newzealand","right",2,140,20,140,NA,NA,33,55,75,"bus",30,500,"two","health",0.375,10,"quitefit",76,"famous","time",1324,7
"2229","female",11,"newzealand","right",2,153,23,159,16,34,39,70,76,"walk",15,NA,"two","arts",NA,1,"unfit",82,"happy","time",907,8
"10775","male",14,"england","left",1,167,23,180,18,35,17,5,6,"motor",1,NA,"two","arts",0.328,5,"quitefit",32,"happy","time",570,9
"2780","male",13,"newzealand","right",1,158,26,168,15,31,43,75,85,"bus",45,4000,"two","health",0.371,12,"quitefit",56,"healthy","fly",728,9
"14123","male",14,"newzealand","ambi",1,170,26,160,15,31,44,8,8,"walk",28,3000,"two","health",0.316,2,"quitefit",96,"happy","strength",469,9
"19944","female",11,"newzealand","right",2,152,22,160,16,30,42,85,85,"motor",5,NA,"two","arts",0.375,0,"littlefit",60,"happy","fly",860,7
"15667","female",15,"newzealand","right",1,161,23,162,16,31,43,73,72,"walk",35,5000,"one","social",0.42,9,"quitefit",92,"happy","fly",1747,10
"7019","male",13,"newzealand","left",1,160,23,NA,16,30,39,79,80,"walk",20,4000,"two","arts",0.344,1,"veryfit",96,"happy","fly",582,9
"16896","female",14,"newzealand","right",1,150,18,148,18,32,36,75,65,"walk",15,1000,"one","arts",0.624,23,"littlefit",75,"happy","fly",1713,10
"12023","female",15,"newzealand","left",1,169,24,162,15,34,48,8,95,"motor",10,5900,"two","social",1.873,30,"quitefit",68,"healthy","fly",505,10
"10692","female",14,"newzealand","left",1,157,24,156,16,33,37,7,6,"motor",15,2000,"one","health",0.391,8,"littlefit",80,"happy","telepathy",1278,10
"2064","female",14,"newzealand","right",1,163,22,160,15,32,40,70,60,"bus",15,2000,"one","arts",0.454,6,"quitefit",68,"happy","fly",579,10
"8006","female",14,"newzealand","right",1,167,35,165,16,36,51,93,80,"motor",5,3900,"two","arts",0.39,21,"littlefit",94,"healthy","telepathy",366,10
"8570","female",10,"newzealand","left",1,140,21,130,15,30,36,70,5,"bus",10,3000,"two","health",0.725,18,"veryfit",31,"healthy","fly",1661,6
"10891","female",13,"newzealand","right",1,158,23,158,15,34,43,97,105,"bus",30,NA,"one","science",NA,6,"quitefit",74,"famous","invisibility",315,9
"17139","male",13,"newzealand","right",1,165,16,152,30,60,49,6,6,"walk",10,NA,"one","technology",0.735,3,"littlefit",80,"happy","invisibility",867,9
"15203","male",14,"newzealand","right",1,176,25,180,18,22,19,9,8,"bus",15,NA,"one","arts",0,0,"quitefit",72,"happy","telepathy",781,10
"10761","male",13,"newzealand","right",2,178,27,181,21,40,120,9,8,"bus",25,NA,"two","technology",0.329,1,"quitefit",NA,"happy","invisibility",340,9
"7628","female",13,"newzealand","right",2,150,20,NA,15,30,40,80,90,"walk",30,6000,"two","health",0.376,15,"veryfit",56,"happy","fly",617,9
"6423","male",14,"newzealand","ambi",NA,174,20,164,18,30,7,8,6,"motor",8,500,"one","technology",0.344,3,"quitefit",15,"happy","time",728,10
"430","female",12,"newzealand","right",1,159,24,165,18,33,45,95,110,"walk",15,NA,"one","health",1.343,0,"quitefit",124,"rich","time",721,8
"19798","male",11,"newzealand","right",4,160,NA,172,16,28,49,67,80,"motor",5,NA,"two","health",0.421,24,"veryfit",60,"famous","strength",1851,7
"9179","male",13,"newzealand","right",1,151,23,159,15,28,40,78,70,"bike",18,NA,"two","health",0.421,15,"quitefit",80,"rich","time",880,9
"1609","female",14,"newzealand","right",2,167,23,167,11,30,44,98,105,"walk",50,700,"one","arts",0.391,7,"quitefit",60,"rich","fly",1531,10
"6409","female",11,"newzealand","right",1,127,23,120,17,33,42,80,90,"motor",10,NA,"two","social",0.469,9,"quitefit",53,"rich","fly",1051,7
"20162","female",13,"newzealand","left",4,NA,32,65,18,38,45,80,80,"walk",15,NA,"one","arts",0.578,5,"littlefit",-1,"happy","fly",2205,9
"17819","male",9,"newzealand","right",1,148,25,142,20,35,31,6,7,"bus",7,NA,"two","mathstats",0.515,NA,"quitefit",11,"happy","invisibility",1160,5
"16885","male",15,"Philippines","right",2,NA,26,175,17,37,54,75,70,"motor",5,NA,"two","technology",0.407,2,"quitefit",56,"happy","time",1401,10
"8392","female",14,"newzealand","right",2,164,23,161,15,32,40,70,71,"bus",15,5000,"two","mathstats",0.362,30,"littlefit",70,"rich","telepathy",646,11
"1228","female",17,"england","right",2,169,25,NA,15,32,43,92,99,"motor",5,1000,"two","arts",0.391,9,"littlefit",-1,"happy","telepathy",573,13
"8832","female",12,"newzealand","right",1,154,25,26,15,29,36,70,NA,"walk",26,900,"two","arts",0.498,6,"quitefit",50,"happy","fly",692,8
"5324","female",10,"newzealand","right",4,136,21,144,13,27,43,70,60,"other",15,2200,"one","arts",3.632,0,"veryfit",80,"happy","telepathy",773,5
"280","female",13,"newzealand","right",1,156,22,154,14,28,14,6,6,"walk",1,8400,"one","arts",0.328,23,"littlefit",44,"healthy","telepathy",540,10
"15421","female",13,"newzealand","right",1,164,24,160,16,29,47,72,80,"bus",13,5400,"two","arts",0.361,5,"quitefit",52,"happy","telepathy",570,9
"18583","female",13,"newzealand","right",1,165,25,73,7,13,43,80,75,"walk",2,NA,"two","technology",0.438,7,"quitefit",88,"healthy","time",494,9
"18432","female",15,"newzealand","right",1,171,24,168,16,34,44,100,80,"motor",10,640,"two","mathstats",0.365,27,"littlefit",72,"happy","telepathy",544,11
"9550","male",10,"newzealand","right",1,153,24,155,28,31,41,80,80,"motor",20,NA,"hand","mathstats",0.438,NA,"quitefit",80,"rich","time",794,6
"3442","female",13,"england","right",5,169,24,169,16,33,43,104,99,"walk",40,5000,"one","languages",NA,15,"quitefit",54,"happy","telepathy",604,9
"8735","male",10,"Niue","right",2,138,24,24,17,31,27,4,3,"walk",3,2400,"diagonal","arts",0.343,4,"veryfit",24,"healthy","time",541,6
"3396","female",11,"england","right",3,147,23,148,15,40,39,78,65,"motor",23,5000,"two","languages",0.547,16,"littlefit",92,"happy","fly",5282,8
"9198","male",14,"newzealand","left",1,171,27,170,19,33,49,80,76,"bus",30,5000,"two","technology",0.621,7,"unfit",88,"happy","fly",1564,10
"55","male",13,"newzealand","right",2,163,27,167,16,36,40,100,110,"motor",3,3500,"two","health",0.493,NA,"quitefit",60,"happy","strength",1519,9
"7355","female",14,"newzealand","right",1,159,22,157,16,29,31,75,73,"bus",20,NA,"two","arts",0.406,5,"littlefit",56,"happy","telepathy",2220,10
"18902","male",11,"newzealand","right",1,146,24,138,16,33,49,75,70,"motor",5,4000,"two","mathstats",0.514,5,"quitefit",76,"famous","telepathy",650,7
"11350","male",8,"cookisl","right",7,NA,2,NA,NA,NA,2,20,50,"walk",45,NA,"one","arts",0.703,2,"veryfit",51,"famous","time",391,4
"15198","male",14,"australia","right",1,176,30,NA,19,38,18,90,80,"other",10,1000,"two","arts",0.344,12,"quitefit",108,"famous","strength",777,10
"9408","male",14,"newzealand","left",2,181,28,179,18,34,47,68,72,"walk",8,1000,"two","health",0.406,0,"littlefit",73,"healthy","time",782,10
"4205","female",11,"newzealand","right",NA,155,22,156,16,29,36,8,7,"motor",8,NA,"one",NA,0.406,8,"quitefit",70,"healthy","time",968,7
"3236","female",15,"Korea","right",2,158,22,NA,15,30,NA,65,35,"train",30,1500,"two","languages",1.035,16,"quitefit",-1,"rich","time",712,11
"9308","male",12,"newzealand","right",1,170,25,NA,18,27,13,80,75,"bike",20,NA,"diagonal","arts",0.407,10,"littlefit",-1,"famous","fly",788,8
"4831","male",6,"scotland","ambi",7,99,34,70,10,20,8,5,24,NA,55,9999,"two","health",0.312,66,"veryfit",68,"rich","time",569,10
"2216","male",9,"fillipines","right",2,100,21,34,15,33,38,9,8,"motor",15,NA,"two","technology",0.417,24,"quitefit",85,"rich","time",1132,5
"11974","male",10,"england","right",1,152,27,141,14,32,55,80,100,"walk",15,2225,"two","english",0.494,0,"quitefit",100,"rich","fly",843,6
"6573","female",12,"newzealand","right",1,164,23,168,17,32,45,74,73,"walk",5,7000,"two","science",0.516,5,"littlefit",80,"happy","fly",929,8
"12680","female",15,"newzealand","right",1,158,23,162,15,35,38,70,75,"bus",50,1000,"one","health",0.406,10,"littlefit",82,"rich","fly",569,11
"18118","female",13,"newzealand","right",2,172,25,NA,12,15,30,7,5,"walk",25,NA,"diagonal","arts",0.391,2,"littlefit",80,"famous","invisibility",489,8
"16350","male",9,"newzealand","left",1,139,19,138,13,30,39,70,60,"bus",10,NA,"two","health",1.882,0,"quitefit",96,"famous","time",1815,4
"1419","female",13,"newzealand","right",NA,155,21,153,14,28,44,7,7,"bike",17,2100,"diagonal","health",0.54,15,"littlefit",72,"happy","time",896,9
"14668","male",12,"South Korea","right",2,144,22,140,12,25,38,8,8,"walk",30,NA,"two","health",0.36,0,"quitefit",100,"famous","fly",780,8
"12589","female",12,"newzealand","right",1,148,22,148,15,31,43,80,90,"bus",60,4500,"one","arts",0.484,0,"littlefit",104,"happy","fly",558,8
"18382","female",12,"newzealand","right",2,162,25,50,18,32,46,90,90,"motor",30,NA,"diagonal","health",0.359,0,"littlefit",54,"rich","invisibility",876,8
"15779","male",10,"newzealand","right",1,141,23,139,15,30,34,NA,NA,"bike",11,2000,"two","technology",0.421,0,"quitefit",68,"happy","time",807,5
"8670","female",12,"newzealand","right",1,155,22,150,22,30,95,70,60,"motor",10,1600,"two","arts",0.429,3,"veryfit",144,"healthy","invisibility",1679,8
"5622","female",14,"newzealand","right",1,160,23,177,15,30,43,74,70,"bus",25,NA,"two","health",0.468,3,"quitefit",73,"happy","telepathy",660,10
"3452","female",13,"southafrica","right",2,169,26,166,16,33,47,80,90,"bus",30,8000,"two","social",0.344,19,"veryfit",48,"healthy","time",742,9
"14460","female",14,"newzealand","ambi",2,NA,0,75,18,35,56,80,90,"train",70,600,"diagonal","technology",1.204,4,"unfit",70,"happy","time",589,10
"15794","female",10,"newzealand","right",1,135,19,136,14,28,39,60,60,"bus",10,1000,"two","arts",0.671,0,"quitefit",72,"rich","fly",771,5
"16592","female",9,"newzealand","left",1,137,21,137,15,28,42,6,7,"motor",2,NA,"two","arts",0.671,7,NA,-1,"famous","time",6393,5
"10126","male",12,"newzealand","right",1,150,21,150,16,29,43,53,60,"other",12,NA,"two","mathstats",1.766,5,"unfit",0,"rich","fly",1504,8
"9688","female",13,"england","right",4,159,20,162,14,28,54,80,74,"motor",42,4000,"one","health",0.906,18,"veryfit",54,"rich","invisibility",960,10
"15049","female",13,"newzealand","right",2,164,20,164,14,33,42,80,60,NA,5,NA,"diagonal","arts",0.474,9,"quitefit",66,"healthy","time",681,9
"13021","male",14,"newzealand","ambi",1,156,24,146,15,30,32,80,79,"train",35,2500,"two","health",0.36,15,"quitefit",69,"happy","telepathy",1897,10
"9636","female",13,"newzealand","left",1,171,24,56,16,34,54,70,60,"walk",10,5000,"one","arts",0.344,4,"quitefit",91,"happy","telepathy",586,9
"4313","female",12,"newzealand","right",1,154,22,NA,16,29,42,62,NA,"bus",40,7000,"two","technology",1.626,28,"quitefit",112,"rich","telepathy",1302,8
"15638","female",14,"newzealand","ambi",2,164,22,165,14,32,44,60,70,"motor",3,500,"hand","arts",1.812,53,"quitefit",80,"happy","telepathy",1070,9
"16312","female",12,"Philippines","right",2,154,24,52,20,35,40,70,75,"motor",10,2000,"one","mathstats",0.344,22,"littlefit",78,"rich","fly",611,7
"5345","male",10,"newzealand","right",1,154,23,158,18,33,37,8,7,"motor",NA,NA,"two","arts",2.656,NA,"quitefit",88,"happy","strength",1030,6
"19065","female",10,"newzealand","right",1,145,23,154,15,29,40,65,66,"bus",4,NA,"one","mathstats",0.625,0,"quitefit",88,"happy","time",629,6
"14438","male",14,"newzealand","right",1,175,29,175,21,36,46,100,90,"walk",5,NA,"diagonal","health",0.36,2,"quitefit",27,"happy","time",1054,9
"18404","female",11,"Tonga","right",2,153,24,156,18,32,55,81,79,"walk",25,NA,"diagonal","arts",NA,0,"quitefit",98,"famous","time",1146,8
"14976","female",11,"england","right",1,144,23,151,15,31,38,77,70,"motor",2,7500,"one","arts",0.406,24,"veryfit",16,"healthy","telepathy",365,6
"9125","female",14,"newzealand","right",1,170,27,172,19,34,42,90,78,"motor",5,5000,"two","arts",0.444,13,"quitefit",84,"happy","time",670,10
"6809","female",9,"newzealand","right",1,99,20,99,13,28,36,7,5,"bike",11,NA,"two","arts",0.625,0,"veryfit",64,"rich","fly",743,5
"14727","female",14,"newzealand","right",1,165,21,60,20,35,42,7,7,"bus",40,NA,"one","english",0.406,1,"quitefit",72,"famous","invisibility",916,10
"6464","female",12,"newzealand","right",2,172,26,70,7,32,44,80,71,"walk",25,1500,"two","arts",0.39,9,"quitefit",88,"healthy","fly",738,9
"15278","female",14,"Taiwan","right",2,161,22,160,16,34,40,70,70,"bus",15,5000,"two","arts",0.344,10,"littlefit",88,"happy","fly",948,10
"2790","female",13,"newzealand","right",1,143,22,143,13,28,28,6,7,"motor",2,NA,"two","arts",0.391,4,"quitefit",-1,"healthy","time",522,9
"12356","male",14,"newzealand","right",1,164,27,168,20,38,58,75,79,"bike",15,5000,"two","technology",0.363,24,"littlefit",100,"rich","time",457,10
"12343","female",15,"newzealand","right",1,170,26,179,6,31,56,78,73,"bus",20,800,"one","arts",0.383,4,"quitefit",64,"happy","fly",485,11
"9514","female",11,"australia","right",1,156,23,152,15,29,43,80,90,"motor",8,NA,"diagonal","arts",0.422,0,"veryfit",44,"happy","fly",971,7
"8945","female",14,"newzealand","right",NA,165,24,165,18,33,NA,90,94,"motor",60,NA,"one","arts",0.328,5,"littlefit",64,"healthy","invisibility",1283,10
"13990","male",14,"newzealand","right",1,173,23,173,7,35,51,100,95,"bus",15,NA,"one","health",0.343,8,"veryfit",24,"happy","fly",283,9
"5169","female",14,"newzealand","right",1,157,23,155,14,28,40,90,85,"walk",20,7500,"two","arts",1.406,16,"littlefit",82,"famous","telepathy",669,10
"16826","female",15,"england","right",1,172,22,173,17,28,57,70,80,"motor",10,NA,"one","health",0.343,0,"quitefit",88,"healthy","time",1021,10
"1459","male",13,"newzealand","ambi",1,147,21,20,9,32,32,75,65,"bus",45,4000,"two","technology",0.358,12,"quitefit",58,"healthy","invisibility",561,9
"7938","male",13,"newzealand","right",1,171,26,77,25,70,46,9,10,"motor",5,NA,"one","english",0.422,0,"unfit",70,"happy","invisibility",300,9
"8537","female",12,"Fiji","right",2,NA,24,NA,17,35,42,65,69,"walk",15,NA,"two","arts",0.505,4,"littlefit",44,"famous","telepathy",1104,8
"16839","male",13,"newzealand","right",3,174,23,150,18,30,15,83,78,"motor",20,NA,"two","social",0.375,35,"littlefit",36,"healthy","time",1295,9
"17332","female",10,"newzealand","right",1,149,23,153,15,30,40,80,70,"walk",10,1000,"two","english",0.374,NA,"quitefit",76,"rich","telepathy",875,6
"14944","female",15,"newzealand","right",3,177,28,176,17,33,45,96,86,"motor",30,2000,"one","social",0.266,24,"quitefit",62,"happy","time",430,10
"5249","male",9,"newzealand","right",1,141,22,140,10,24,37,66,71,"motor",7,3000,"two","health",0.36,3,"quitefit",80,"rich","fly",1407,6
"17978","male",13,"newzealand","left",1,169,26,169,20,37,42,85,103,"bus",15,8000,"one","mathstats",0.407,0,"littlefit",96,"healthy","fly",2242,9
"877","female",14,"Netherlands","ambi",2,165,21,168,16,32,38,86,93,"bus",65,5000,"one","mathstats",0.452,8,"quitefit",60,"healthy","telepathy",697,10
"17432","male",13,"newzealand","right",1,174,27,170,16,31,44,101,100,"walk",5,3000,"two","health",1.625,36,"quitefit",84,"happy","invisibility",933,9
"9972","male",13,"newzealand","left",1,163,25,161,16,35,41,85,100,"walk",8,4000,"two","mathstats",0.485,32,"quitefit",104,"healthy","strength",550,9
"13261","male",9,"newzealand","right",1,135,20,130,16,28,38,6,6,"walk",10,NA,"two","science",0.469,0,"quitefit",65,"famous","time",845,5
"12958","female",13,"newzealand","right",1,167,25,172,15,31,45,80,70,"motor",40,7000,"two","english",0.453,10,"littlefit",84,"happy","telepathy",590,9
"18885","female",14,"newzealand","right",1,164,23,160,18,36,42,80,75,"bus",25,NA,"one","arts",NA,6,"littlefit",60,"happy","time",815,10
"11198","female",13,"newzealand","right",1,153,22,151,16,31,46,65,65,"bus",40,3800,"one","social",NA,32,"littlefit",22,"rich","telepathy",831,9
"14538","male",14,"england","right",1,160,30,90,NA,15,30,NA,NA,"walk",25,4100,"diagonal","social",0.407,36,"littlefit",80,"happy","telepathy",315,9
"5459","female",14,"newzealand","right",2,165,22,160,17,33,40,80,90,"motor",18,5000,"two","technology",0.39,4,"quitefit",68,NA,NA,745,10
"14321","male",13,"newzealand","right",1,160,26,170,19,35,35,70,69,"bus",38,NA,"one","technology",NA,0,"littlefit",80,"healthy","time",2052,8
"17552","female",16,"newzealand","right",1,162,0,170,15,35,43,93,101,"walk",15,1000,"one","arts",0.375,12,"littlefit",58,"happy","telepathy",798,12
"14830","female",14,"newzealand","right",1,162,23,162,16,32,40,90,100,"motor",5,3000,"one","english",0.422,1,"littlefit",68,"happy","time",1035,9
"9777","female",15,"colombia","right",3,127,24,167,15,32,33,80,78,"bus",30,5000,"one","science",0.453,16,"veryfit",100,"happy","telepathy",570,11
"4069","male",11,"holland","left",2,154,7,154,19,37,38,86,66,"motor",11,5500,"two","technology",0.474,5,"quitefit",82,"happy","strength",1576,7
"7416","female",14,"newzealand","right",1,163,22,162,15,30,42,70,68,"train",25,NA,"one","languages",0.375,48,"quitefit",72,"happy","telepathy",1688,10
"8712","female",14,"newzealand","right",2,143,18,NA,17,27,56,70,95,"walk",20,NA,"two","languages",0.531,1,"quitefit",138,"healthy","invisibility",390,10
"10056","female",12,"australia","right",2,148,21,52,14,30,53,6,6,"walk",3,NA,"diagonal","health",0.423,14,"quitefit",76,"happy","telepathy",570,8
"3867","female",10,"australia","right",1,145,22,145,16,38,38,63,62,"motor",8,NA,"two","arts",0.405,15,"quitefit",13,"happy","strength",848,6
"3721","female",14,"newzealand","right",2,147,21,150,15,31,39,70,70,"bus",35,NA,"one","arts",0.35,2,"quitefit",90,"famous","fly",390,10
"10284","female",11,"newzealand","right",2,128,22,70,NA,13,51,67,75,"bus",14,NA,"one","technology",NA,2,"quitefit",20,"happy","telepathy",1073,7
"9384","female",14,"newzealand","right",1,165,21,160,NA,30,50,110,110,"walk",3,3000,"one","arts",0.327,48,"quitefit",0,"happy","time",1339,10
"5471","male",13,"newzealand","right",NA,169,31,156,15,128,48,100,80,"motor",30,NA,"two","health",0.344,1,"quitefit",72,"happy","time",556,9
"15128","female",13,"newzealand","right",1,165,24,164,17,37,32,69,75,"walk",30,5000,"two","technology",2.352,4,"unfit",48,"happy","invisibility",480,9
"15808","female",13,"newzealand","right",1,157,23,160,14,28,41,90,85,"bus",20,500,"two","arts",0.422,10,"littlefit",98,"rich","fly",768,9
"8581","male",13,"newzealand","left",1,150,26,162,16,30,51,4,7,"walk",30,500,"one","arts",0.418,27,"quitefit",63,"famous","strength",580,9
"17024","male",14,"newzealand","right",1,175,25,174,18,34,48,80,90,"walk",10,NA,"two","health",0.344,6,"quitefit",64,"happy","invisibility",1180,9
"6819","female",11,"newzealand","right",2,152,24,150,13,37,44,75,70,"bus",8,2000,"one","arts",0.438,24,"littlefit",56,"happy","telepathy",1197,8
"14840","male",12,"newzealand","right",1,155,26,165,16,30,43,70,70,"motor",15,4000,"one","mathstats",0.359,2,"veryfit",88,"happy","fly",649,7
"1389","female",13,"newzealand","right",1,169,26,165,16,35,41,100,105,"bus",23,5700,"one","arts",0.375,6,"quitefit",72,"healthy","telepathy",944,9
"9070","male",10,"fiji","left",3,147,19,147,13,26,44,80,70,"walk",15,500,"two","mathstats",0.499,5,"veryfit",88,"healthy","strength",1335,6
"9377","male",11,"newzealand","right",2,NA,20,NA,29,38,23,14,15,"walk",2,NA,"diagonal","mathstats",3.75,2,"veryfit",37,"rich","strength",1447,7
"3978","female",13,"england","right",1,161,24,162,16,30,40,94,100,"bus",17,3900,"one","mathstats",0.406,4,"quitefit",60,NA,"invisibility",612,10
"8772","female",10,"newzealand","right",1,145,21,135,16,29,38,80,80,"bike",6,900,"two","arts",0.344,38,"quitefit",68,"healthy","invisibility",934,6
"2738","male",12,"newzealand","right",1,145,22,155,16,13,42,80,70,"other",15,500,"two","health",0.328,24,"quitefit",60,"rich","time",1109,8
"42","female",13,"Canada","right",1,160,24,161,16,31,42,81,75,"bus",45,NA,"one","arts",0.453,8,"littlefit",88,"happy","telepathy",1656,9
"15963","male",13,"newzealand","right",2,175,35,169,17,35,54,85,95,"walk",10,NA,"one","arts",0.375,2,"quitefit",72,"happy","strength",685,9
"16178","male",12,"southafrica","right",1,NA,0,NA,18,28,43,55,60,"bike",25,NA,"two","health",0.375,6,"quitefit",102,"happy","time",1343,8
"14653","female",12,"newzealand","right",2,153,22,153,15,33,40,80,70,"motor",20,NA,"one","arts",2.75,NA,"littlefit",-1,"happy","telepathy",390,8
"8513","male",10,"newzealand","right",1,128,21,128,15,11,14,2,2,"motor",13,NA,"two","technology",1.562,5,"veryfit",36,"happy","fly",2083,5
"7529","female",13,"newzealand","right",3,169,25,NA,16,32,55,90,85,"walk",50,NA,"two","social",0.439,NA,"quitefit",80,"happy","fly",1470,9
"1983","male",14,"newzealand","right",NA,182,88,180,21,36,48,9,10,"bike",30,7000,"two","technology",0.343,3,"unfit",88,"rich","invisibility",338,10
"18464","female",15,"newzealand","right",1,171,26,175,16,35,43,100,90,"walk",30,640,"two","health",0.397,8,"quitefit",96,"happy","invisibility",416,11
"11116","female",14,"newzealand","right",1,167,22,161,15,32,42,70,75,"bus",20,NA,"one","social",0.391,17,"quitefit",72,"happy","invisibility",712,10
"622","female",14,"newzealand","right",1,165,23,159,17,32,44,90,90,"walk",5,2000,"two","arts",0.265,3,"quitefit",80,"happy","invisibility",512,10
"8099","male",13,"newzealand","ambi",1,162,24,158,16,31,42,60,60,"bus",20,5000,"one","arts",0.359,1,"quitefit",73,"healthy","fly",825,9
"908","female",14,"newzealand","right",1,161,22,161,15,31,42,80,75,"bus",45,2200,"diagonal","health",0.453,2,"veryfit",84,"happy","telepathy",843,10
"8374","female",15,"newzealand","right",1,166,23,164,15,35,41,80,90,"walk",15,2700,"one","health",0.312,16,"unfit",68,"happy","telepathy",605,11
"13572","female",15,"newzealand","right",2,186,27,183,15,31,50,7,86,"bus",25,6000,"two","arts",0.385,25,"littlefit",96,"happy","telepathy",852,10
"8598","female",13,"newzealand","right",1,163,24,167,20,40,45,9,10,"bus",35,1000,"one","languages",0.375,9,"littlefit",56,"happy","time",714,9
"15614","male",13,"newzealand","right",1,172,24,170,18,40,45,7,7,"motor",4,NA,"two","english",0.328,28,"quitefit",76,"happy","time",515,9
"3488","male",11,"Ireland","right",2,145,23,142,15,29,40,70,60,"motor",10,NA,"two","health",0.312,15,"quitefit",72,"healthy","time",2369,7
"12395","male",10,"newzealand","right",2,154,24,155,16,29,42,85,80,"motor",7,1900,"one","mathstats",0.453,12,"quitefit",72,"happy","telepathy",483,7
"15476","male",14,"newzealand","right",3,174,27,168,17,40,40,85,70,"motor",15,1600,"one","arts",0.39,12,"quitefit",60,"happy","invisibility",824,9
"16150","female",11,"newzealand","right",3,144,23,147,16,34,56,8,7,"motor",10,NA,"two","mathstats",0.5,5,"littlefit",32,"healthy","time",2436,7
"18796","female",11,"newzealand","right",1,100,19,NA,NA,12,43,55,62,"bus",50,NA,"one","health",0.562,NA,"veryfit",62,"rich","fly",1794,7
"12358","male",14,"India","ambi",3,169,25,175,18,34,47,85,89,"motor",6,4500,"two","science",0.312,10,"littlefit",96,"rich","telepathy",943,10
"2411","female",14,"southafrica","right",1,178,25,175,16,34,47,100,90,"motor",15,2000,"two","health",0.328,1,"littlefit",64,"happy","fly",887,10
"14971","female",10,"newzealand","right",1,149,24,146,16,32,36,89,80,"motor",10,3800,"diagonal","english",1.39,6,"quitefit",64,"healthy","invisibility",478,6
"13166","male",13,"newzealand","right",2,172,27,175,17,33,43,95,86,"motor",15,3650,"two","technology",0.343,6,"littlefit",60,"happy","time",722,9
"674","female",13,"somalia","right",2,162,24,163,15,30,42,70,80,"motor",15,2000,"one","health",2.656,NA,"quitefit",88,"happy","telepathy",857,9
"15496","male",13,"china","ambi",2,NA,11,62,12,43,31,25,14,NA,1,NA,"diagonal","arts",2.664,10,"quitefit",23,"healthy","time",563,9
"19045","male",13,"newzealand","right",2,162,25,162,16,31,43,104,6,"walk",30,NA,"two","health",NA,9,"quitefit",60,"famous","time",1240,9
"10229","male",11,"brazil","right",3,163,20,120,11,42,53,60,50,"bus",15,NA,"two","technology",0.5,4,"littlefit",-1,"rich","telepathy",921,7
"244","female",11,"newzealand","right",1,155,24,154,15,31,52,75,70,"walk",30,NA,"two","arts",0.593,1,"littlefit",80,"famous","fly",579,7
"1191","male",9,"newzealand","left",1,145,22,142,15,28,42,70,60,"bike",10,2000,"one","technology",2.047,0,"veryfit",-1,"healthy","time",790,6
"10509","female",16,"newzealand","left",2,167,24,172,19,35,45,85,95,"bus",40,NA,"two","science",0.749,3,"littlefit",100,"happy","invisibility",763,12
"16874","male",14,"newzealand","right",1,175,27,180,22,38,42,80,92,"motor",15,4000,"two","social",0.329,48,"littlefit",100,"rich","telepathy",1164,10
"9385","female",8,"newzealand","right",1,122,17,123,13,26,37,50,50,"motor",10,2600,"one","arts",0.919,0,"quitefit",68,"happy","invisibility",1024,5
"7104","female",14,"newzealand","right",1,167,24,170,16,33,42,75,81,"walk",1,3000,"one","social",0.344,15,"veryfit",60,"happy","fly",1509,10
"11809","female",13,"newzealand","right",1,164,24,165,16,30,52,9,9,"bus",60,4500,"two","arts",0.453,36,"quitefit",60,"famous","telepathy",627,9
"10845","female",13,"newzealand","ambi",2,100,23,73,60,30,40,80,70,"bus",1,6000,"one","arts",0.511,12,"unfit",60,"rich","fly",1120,9
"9203","male",14,"newzealand","right",1,170,27,170,16,36,45,9,8,"bus",45,NA,"two","arts",0.405,5,"quitefit",72,"happy","fly",499,10
"2625","female",10,"newzealand","right",1,114,23,NA,14,29,31,80,90,"bus",45,1000,"one","health",0.388,3,"quitefit",84,"healthy","telepathy",1509,6
